Symbol,Name,Last Sale,Net Change,% Change,Market Cap
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,$82.64,0.90,1.101%,"15,618,768,440"
NVAX,"Novavax, Inc. Common Stock",$210.23,3.04,1.467%,"15,576,873,070"
UAL,"United Airlines Holdings, Inc. Common Stock",$48.10,1.78,3.843%,"15,565,677,797"
FICO,Fair Isaac Corproation Common Stock,$540.83,7.53,1.412%,"15,563,392,980"
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$46.35,0.53,1.157%,"15,553,536,105"
ACGL,Arch Capital Group Ltd. Common Stock,$38.48,0.59,1.557%,"15,531,262,237"
ATUS,"Altice USA, Inc. Class A Common Stock",$33.76,0.09,0.267%,"15,523,340,457"
TXT,Textron Inc. Common Stock,$68.66,1.59,2.371%,"15,497,171,358"
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$46.05,0.53,1.164%,"15,452,865,968"
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),$5.64,0.06,1.075%,"15,434,163,150"
LKQ,LKQ Corporation Common Stock,$50.92,0.87,1.738%,"15,385,981,344"
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$45.70,UNCH,--,"15,335,417,475"
JHX,James Hardie Industries plc American Depositary Shares (Ireland),$34.48,0.65,1.921%,"15,319,080,376"
ENIA,Enel Americas S.A. American Depositary Shares,$7.09,0.09,1.286%,"15,212,544,854"
MAS,Masco Corporation Common Stock,$59.50,0.37,0.626%,"15,100,258,194"
BEN,"Franklin Resources, Inc. Common Stock",$29.92,0.60,2.046%,"15,089,334,765"
BRO,"Brown & Brown, Inc. Common Stock",$53.27,-0.12,-0.225%,"15,014,054,733"
MOH,Molina Healthcare Inc Common Stock,$256.50,2.29,0.901%,"14,979,600,000"
EMN,Eastman Chemical Company Common Stock,$109.84,1.65,1.525%,"14,973,775,656"
LDOS,"Leidos Holdings, Inc. Common Stock",$105.65,0.70,0.667%,"14,941,039,798"
CGNX,Cognex Corporation Common Stock,$84.60,0.99,1.184%,"14,941,018,273"
ELS,"Equity Lifestyle Properties, Inc. Common Stock",$81.74,0.27,0.331%,"14,902,431,288"
NLOK,NortonLifeLock Inc. Common Stock,$25.59,-0.22,-0.852%,"14,874,653,775"
AEM,Agnico Eagle Mines Limited Common Stock,$61.18,0.22,0.361%,"14,869,168,907"
LBTYB,Liberty Global plc Class B Ordinary Shares,$26.50,UNCH,--,"14,856,627,982"
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$10.96,0.12,1.107%,"14,787,468,517"
MASI,Masimo Corporation Common Stock,$267.98,0.96,0.36%,"14,739,015,767"
LBTYK,Liberty Global plc Class C Ordinary Shares,$26.24,0.28,1.079%,"14,710,864,839"
LBTYA,Liberty Global plc Class A Ordinary Shares,$26.20,0.47,1.827%,"14,688,439,740"
EVRG,"Evergy, Inc. Common Stock",$63.91,-0.09,-0.141%,"14,652,486,053"
ABMD,"ABIOMED, Inc. Common Stock",$322.85,-0.74,-0.229%,"14,639,619,045"
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",$25.17,-0.07,-0.277%,"14,611,080,620"
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$79.65,0.15,0.189%,"14,555,445,939"
DISCA,"Discovery, Inc. Series A Common Stock",$28.79,0.66,2.346%,"14,550,679,248"
NWSA,News Corporation Class A Common Stock,$24.61,0.29,1.192%,"14,539,877,340"
CDAY,Ceridian HCM Holding Inc. Common Stock,$97.41,-0.19,-0.195%,"14,537,246,500"
IEP,"Icahn Enterprises, L.P. Common Stock",$57.42,0.24,0.42%,"14,498,152,654"
OSH,"Oak Street Health, Inc. Common Stock",$60.20,1.22,2.068%,"14,495,096,567"
SJR,Shaw Communications Inc. Common Stock,$28.94,0.29,1.012%,"14,435,889,174"
GDDY,GoDaddy Inc. Class A Common Stock,$85.43,1.04,1.232%,"14,365,544,697"
FANG,"Diamondback Energy, Inc. Commmon Stock",$79.34,4.42,5.90%,"14,364,399,970"
LNT,Alliant Energy Corporation Common Stock,$57.42,-0.89,-1.526%,"14,362,725,976"
CPT,Camden Property Trust Common Stock,$146.40,-0.39,-0.266%,"14,300,737,618"
L,Loews Corporation Common Stock,$54.11,0.78,1.463%,"14,240,431,229"
LUMN,"Lumen Technologies, Inc. Common Stock",$12.85,UNCH,--,"14,203,266,113"
RH,RH Common Stock,$673.61,13.83,2.096%,"14,166,270,230"
WPC,W. P. Carey Inc. REIT,$78.86,-0.61,-0.768%,"14,166,157,496"
CTXS,"Citrix Systems, Inc. Common Stock",$114.04,-0.68,-0.593%,"14,160,009,812"
HWM,Howmet Aerospace Inc. Common Stock,$32.87,0.98,3.073%,"14,115,200,802"
BZ,KANZHUN LIMITED American Depository Shares,$35.28,0.26,0.742%,"14,110,238,646"
MQ,"Marqeta, Inc. Class A Common Stock",$26.60,0.53,2.033%,"14,104,540,967"
KEP,Korea Electric Power Corporation Common Stock,$10.98,-0.08,-0.723%,"14,097,531,131"
WB,Weibo Corporation American Depositary Share,$61.78,1.11,1.83%,"14,076,440,235"
SJM,J.M. Smucker Company (The) New Common Stock,$129.54,-2.97,-2.241%,"14,037,187,442"
AGL,"agilon health, inc. Common Stock",$35.75,0.95,2.73%,"13,972,264,020"
XRAY,DENTSPLY SIRONA Inc. Common Stock,$63.76,1.18,1.886%,"13,919,963,395"
SBNY,Signature Bank Common Stock,$240.77,5.27,2.238%,"13,915,001,428"
PHM,"PulteGroup, Inc. Common Stock",$52.85,0.64,1.226%,"13,897,759,495"
OTEX,Open Text Corporation Common Shares,$50.75,0.33,0.655%,"13,864,778,403"
GDS,GDS Holdings Limited ADS,$74.00,-0.40,-0.538%,"13,830,418,626"
GME,GameStop Corporation Common Stock,$185.81,-5.37,-2.809%,"13,820,408,443"
NWS,News Corporation Class B Common Stock,$23.38,0.32,1.388%,"13,813,178,879"
TAL,TAL Education Group American Depositary Shares,$21.33,2.15,11.21%,"13,755,311,005"
CCK,"Crown Holdings, Inc.",$101.78,-0.96,-0.934%,"13,730,015,843"
AAL,American Airlines Group Inc. Common Stock,$21.40,0.84,4.086%,"13,725,598,832"
AVLR,"Avalara, Inc. Common Stock",$159.51,4.43,2.857%,"13,712,989,681"
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$209.40,-0.83,-0.395%,"13,702,899,378"
IPG,"Interpublic Group of Companies, Inc. (The) Common Stock",$34.81,3.54,11.321%,"13,693,406,307"
DISCK,"Discovery, Inc. Series C Common Stock",$27.09,0.64,2.42%,"13,691,486,656"
WHR,Whirlpool Corporation Common Stock,$217.25,4.07,1.909%,"13,605,226,938"
WRB,W.R. Berkley Corporation Common Stock,$76.50,0.65,0.857%,"13,569,611,922"
FMC,FMC Corporation Common Stock,$105.26,1.92,1.858%,"13,565,548,495"
FBHS,"Fortune Brands Home & Security, Inc. Common Stock",$97.72,1.80,1.877%,"13,543,829,003"
DLO,DLocal Limited Class A Common Shares,$46.16,-1.13,-2.39%,"13,520,991,712"
CPB,Campbell Soup Company Common Stock,$44.59,-0.69,-1.524%,"13,513,065,850"
APO,"Apollo Global Management, Inc. Class A Common Stock",$58.13,0.70,1.219%,"13,504,725,094"
SEDG,"SolarEdge Technologies, Inc. Common Stock",$258.96,13.20,5.371%,"13,459,755,457"
SOFI,"SoFi Technologies, Inc. Common Stock  ",$16.56,1.50,9.96%,"13,432,540,053"
MHK,"Mohawk Industries, Inc. Common Stock",$192.64,6.12,3.281%,"13,428,550,276"
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$7.96,0.03,0.378%,"13,424,246,045"
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$41.51,-0.37,-0.883%,"13,399,467,808"
NEOG,Neogen Corporation Common Stock,$44.32,-0.03,-0.068%,"13,387,396,571"
GGG,Graco Inc. Common Stock,$78.32,1.29,1.675%,"13,270,154,526"
CBOE,"Cboe Global Markets, Inc. Common Stock",$118.30,2.74,2.371%,"13,228,158,125"
ESTC,Elastic N.V. Ordinary Shares,$144.25,1.48,1.037%,"13,199,290,440"
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),$8.40,0.01,0.119%,"13,179,019,644"
UHS,"Universal Health Services, Inc. Common Stock",$153.61,0.44,0.287%,"13,092,090,438"
VEDL,Vedanta Limited  American Depositary Shares (Each representing four equity shares),$14.06,0.31,2.255%,"13,067,029,611"
NDSN,Nordson Corporation Common Stock,$224.52,0.60,0.268%,"13,051,041,579"
WRK,Westrock Company Common Stock,$48.75,0.25,0.515%,"12,973,171,721"
HAS,"Hasbro, Inc. Common Stock",$94.22,0.22,0.234%,"12,961,715,094"
SQM,Sociedad Quimica y Minera S.A. Common Stock,$49.00,1.25,2.618%,"12,899,078,745"
EQH,"Equitable Holdings, Inc. Common Stock",$30.09,0.76,2.591%,"12,886,726,927"
MTN,"Vail Resorts, Inc. Common Stock",$319.27,9.98,3.227%,"12,867,301,592"
FDS,FactSet Research Systems Inc. Common Stock,$340.49,0.56,0.165%,"12,863,590,645"
ATO,Atmos Energy Corporation Common Stock,$98.25,-1.24,-1.246%,"12,849,818,820"
JKHY,"Jack Henry & Associates, Inc. Common Stock",$173.13,-0.50,-0.288%,"12,843,748,600"
CLR,"Continental Resources, Inc. Common Stock",$34.86,2.07,6.313%,"12,812,256,086"
FIVN,"Five9, Inc. Common Stock",$189.19,-0.61,-0.321%,"12,805,168,690"
DVA,DaVita Inc. Common Stock,$120.10,0.69,0.578%,"12,754,620,000"
WYNN,"Wynn Resorts, Limited Common stock",$109.59,3.02,2.834%,"12,674,973,700"
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$43.89,0.10,0.228%,"12,672,407,584"
ALLE,Allegion plc Ordinary Shares,$140.47,-0.88,-0.623%,"12,639,223,286"
FNF,"FNF Group of Fidelity National Financial, Inc. Common Stock",$43.70,0.22,0.506%,"12,631,600,062"
PKG,Packaging Corporation of America Common Stock,$132.82,0.24,0.181%,"12,617,111,846"
ASAN,"Asana, Inc. Class A Common Stock",$69.69,1.39,2.035%,"12,589,091,092"
STLD,"Steel Dynamics, Inc.",$59.45,0.34,0.575%,"12,556,966,934"
VIPS,"Vipshop Holdings Limited American Depositary Shares, each representing two ordinary shares",$18.15,0.12,0.666%,"12,480,171,231"
PWR,"Quanta Services, Inc. Common Stock",$89.55,1.25,1.416%,"12,478,442,539"
SC,Santander Consumer USA Holdings Inc. Common Stock,$40.77,0.19,0.468%,"12,477,076,916"
BKI,"Black Knight, Inc. Common Stock ",$79.34,-0.17,-0.214%,"12,425,740,637"
IAC,IAC/InterActiveCorp Common Stock,$139.28,4.77,3.546%,"12,416,430,094"
CHRW,"C.H. Robinson Worldwide, Inc. Common Stock",$93.14,0.03,0.032%,"12,386,564,724"
MPW,"Medical Properties Trust, Inc. common stock",$21.05,0.13,0.621%,"12,381,610,000"
GDRX,"GoodRx Holdings, Inc. Class A Common Stock",$31.35,0.52,1.687%,"12,318,829,449"
ATH,Athene Holding Ltd. Class A Common Shares,$63.97,0.74,1.17%,"12,265,788,259"
PCOR,"Procore Technologies, Inc. Common Stock",$95.23,0.23,0.242%,"12,202,274,528"
BRKR,Bruker Corporation Common Stock,$80.19,-0.75,-0.927%,"12,150,478,132"
CHGG,"Chegg, Inc. Common Stock",$85.56,0.69,0.813%,"12,143,965,873"
SNA,Snap-On Incorporated Common Stock,$224.03,0.77,0.345%,"12,115,538,816"
LII,"Lennox International, Inc. Common Stock",$320.70,-4.92,-1.511%,"12,114,972,617"
CNA,CNA Financial Corporation Common Stock,$44.58,0.41,0.928%,"12,110,462,284"
CX,"Cemex, S.A.B. de C.V. Sponsored ADR",$8.22,0.36,4.58%,"12,107,213,932"
SID,Companhia Siderurgica Nacional S.A. Common Stock,$8.75,0.26,3.062%,"12,076,002,286"
S,"SentinelOne, Inc. Class A Common Stock",$47.10,-0.35,-0.738%,"12,075,087,241"
GH,"Guardant Health, Inc. Common Stock",$119.21,2.16,1.845%,"12,054,669,815"
NLY,Annaly Capital Management Inc Common Stock,$8.60,0.05,0.585%,"12,027,137,350"
BAH,Booz Allen Hamilton Holding Corporation Common Stock,$88.80,-0.39,-0.437%,"12,022,591,685"
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$16.25,0.52,3.306%,"11,994,877,456"
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$65.39,2.07,3.269%,"11,980,514,642"
RDY,Dr. Reddy's Laboratories Ltd Common Stock,$72.07,0.48,0.67%,"11,948,120,121"
WSM,"Williams-Sonoma, Inc. Common Stock (DE)",$158.93,-0.06,-0.038%,"11,938,674,908"
DBX,"Dropbox, Inc. Class A Common Stock",$30.52,0.02,0.066%,"11,929,580,262"
TTC,Toro Company (The) Common Stock,$111.42,-0.55,-0.491%,"11,929,006,479"
TS,Tenaris S.A. American Depositary Shares,$20.19,0.64,3.274%,"11,917,519,299"
FND,"Floor & Decor Holdings, Inc. Common Stock",$113.37,3.73,3.402%,"11,893,851,333"
IVZ,Invesco Ltd Common Stock,$25.66,0.53,2.109%,"11,840,834,944"
TPL,Texas Pacific Land Corporation Common Stock,$1524.04,32.47,2.177%,"11,820,691,990"
ZLAB,Zai Lab Limited American Depositary Shares,$156.12,-5.50,-3.403%,"11,767,624,777"
AXON,"Axon Enterprise, Inc. Common Stock",$181.45,0.89,0.493%,"11,736,977,848"
LNC,Lincoln National Corporation Common Stock,$61.44,2.05,3.452%,"11,696,529,162"
WTRG,"Essential Utilities, Inc. Common Stock",$47.49,-0.44,-0.918%,"11,665,602,359"
TUYA,"Tuya Inc. American Depositary Shares, each representing one Class A Ordinary Share",$20.76,0.63,3.13%,"11,620,619,282"
NWL,Newell Brands Inc. Common Stock,$27.25,0.21,0.777%,"11,589,425,000"
MOS,Mosaic Company (The) Common Stock,$30.45,0.75,2.525%,"11,564,471,063"
HST,"Host Hotels & Resorts, Inc. Common Stock",$16.37,0.57,3.608%,"11,558,629,392"
QGEN,Qiagen N.V. Common Shares ,$50.50,0.26,0.518%,"11,534,553,500"
TREX,"Trex Company, Inc. Common Stock",$99.96,2.08,2.125%,"11,531,582,521"
PNR,Pentair plc. Ordinary Share,$69.34,-0.19,-0.273%,"11,524,425,323"
IPGP,IPG Photonics Corporation Common Stock,$214.21,6.07,2.916%,"11,477,074,048"
PENN,"Penn National Gaming, Inc. Common Stock",$73.19,3.84,5.537%,"11,443,837,555"
SAM,"Boston Beer Company, Inc. (The) Common Stock",$930.00,-6.43,-0.687%,"11,426,700,750"
CABO,"Cable One, Inc. Common Stock",$1892.69,-27.42,-1.428%,"11,422,770,259"
BWA,BorgWarner Inc. Common Stock,$47.48,0.45,0.957%,"11,387,971,550"
TPR,"Tapestry, Inc. Common Stock",$40.80,1.39,3.527%,"11,377,419,905"
UHAL,Amerco Common Stock,$580.10,6.10,1.063%,"11,374,477,819"
ZNGA,Zynga Inc. Class A Common Stock,$10.44,-0.03,-0.287%,"11,366,683,684"
AOS,A.O. Smith Corporation Common Stock,$70.73,0.53,0.755%,"11,349,069,926"
DAR,Darling Ingredients Inc. Common Stock,$69.25,1.49,2.199%,"11,299,673,534"
LAD,"Lithia Motors, Inc. Common Stock",$371.13,15.57,4.379%,"11,290,802,259"
MCFE,McAfee Corp. Class A Common Stock,$26.18,-0.17,-0.645%,"11,285,135,511"
TECK,Teck Resources Ltd Ordinary Shares,$21.18,1.15,5.741%,"11,261,406,000"
RPM,RPM International Inc. Common Stock,$86.93,0.11,0.127%,"11,258,420,265"
VER,"VEREIT, Inc. Common Stock",$48.97,0.02,0.041%,"11,220,493,847"
REG,Regency Centers Corporation Common Stock,$65.93,1.42,2.201%,"11,199,012,209"
RGEN,Repligen Corporation Common Stock,$203.60,0.63,0.31%,"11,178,549,278"
LEVI,Levi Strauss & Co Class A Common Stock,$27.81,0.43,1.57%,"11,173,268,140"
OTLY,Oatly Group AB American Depositary Shares,$18.87,-0.58,-2.982%,"11,167,930,526"
FFIV,"F5 Networks, Inc. Common Stock",$186.99,0.31,0.166%,"11,147,387,533"
OZON,"Ozon Holdings PLC American Depositary Shares, each ADS representing one ordinary share",$53.49,-0.26,-0.484%,"11,136,774,672"
GPS,"Gap, Inc. (The) Common Stock",$29.47,0.96,3.367%,"11,127,939,840"
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)",$6.52,0.34,5.502%,"11,094,815,832"
LPLA,LPL Financial Holdings Inc. Common Stock,$138.68,4.74,3.539%,"11,086,520,618"
LW,"Lamb Weston Holdings, Inc. Common Stock ",$75.70,-0.28,-0.369%,"11,073,580,632"
LSPD,Lightspeed POS Inc. Subordinate Voting Shares,$82.74,0.91,1.112%,"11,065,178,712"
KOF,"Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares, each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)",$52.61,0.47,0.901%,"11,052,478,520"
PEGA,Pegasystems Inc. Common Stock,$135.97,0.89,0.659%,"11,049,898,873"
NTLA,"Intellia Therapeutics, Inc. Common Stock",$152.75,6.63,4.537%,"11,042,530,902"
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$47.61,-0.31,-0.647%,"11,038,658,066"
GLPI,"Gaming and Leisure Properties, Inc. Common Stock",$47.39,0.29,0.616%,"11,031,936,535"
AFG,"American Financial Group, Inc. Common Stock",$129.60,2.21,1.735%,"11,028,913,085"
PCTY,Paylocity Holding Corporation Common Stock,$202.01,-0.34,-0.168%,"11,005,367,837"
TAP,Molson Coors Beverage Company Class B Common Stock,$50.59,-0.34,-0.668%,"10,973,837,404"
WSO,"Watsco, Inc. Common Stock",$281.53,-1.95,-0.688%,"10,889,888,394"
MORN,"Morningstar, Inc. Common Stock",$253.07,0.93,0.369%,"10,868,340,171"
KL,Kirkland Lake Gold Ltd. Common Shares,$40.65,0.16,0.395%,"10,856,918,828"
HSIC,"Henry Schein, Inc. Common Stock",$77.14,1.37,1.808%,"10,853,296,691"
RUN,Sunrun Inc. Common Stock,$53.00,2.49,4.93%,"10,808,274,948"
DECK,Deckers Outdoor Corporation Common Stock,$387.00,1.15,0.298%,"10,763,639,901"
CREE,"Cree, Inc. Common Stock",$93.15,4.85,5.493%,"10,756,102,319"
FIVE,"Five Below, Inc. Common Stock",$192.02,3.52,1.867%,"10,751,846,523"
BG,Bunge Limited Bunge Limited,$75.90,1.12,1.498%,"10,734,868,987"
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$176.83,1.52,0.867%,"10,732,528,685"
HUBB,Hubbell Inc Common Stock,$197.37,0.76,0.387%,"10,720,409,315"
WLK,Westlake Chemical Corporation Common Stock,$83.45,2.75,3.408%,"10,692,666,555"
CLF,Cleveland-Cliffs Inc. Common Stock,$21.18,1.13,5.636%,"10,577,340,460"
LAMR,Lamar Advertising Company Class A Common Stock,$104.49,1.41,1.368%,"10,564,943,776"
BEP,Brookfield Renewable Partners L.P. ,$38.24,0.97,2.603%,"10,511,537,736"
MRVI,"Maravai LifeSciences Holdings, Inc. Class A Common Stock",$40.76,0.63,1.57%,"10,502,202,891"
ACH,Aluminum Corporation of China Limited American Depositary Shares,$15.30,0.44,2.961%,"10,417,875,845"
MIDD,Middleby Corporation (The) Common Stock,$187.13,1.58,0.852%,"10,409,470,779"
ARES,Ares Management Corporation Class A Common Stock,$64.14,0.93,1.471%,"10,408,791,789"
BHC,Bausch Health Companies Inc. Common Stock,$29.03,0.65,2.29%,"10,404,225,197"
GFL,"GFL Environmental Inc. Subordinate voting shares, no par value",$31.80,0.47,1.50%,"10,390,180,409"
GRFS,"Grifols, S.A. American Depositary Shares",$15.30,-0.02,-0.131%,"10,381,661,204"
MMP,Magellan Midstream Partners L.P. Limited Partnership,$46.38,-0.27,-0.579%,"10,355,857,099"
TSP,TuSimple Holdings Inc. Class A Common Stock,$49.43,1.64,3.432%,"10,332,866,873"
CSL,Carlisle Companies Incorporated Common Stock,$197.90,0.64,0.324%,"10,328,769,688"
CRSP,CRISPR Therapeutics AG Common Shares,$128.45,4.31,3.472%,"10,317,261,608"
JLL,Jones Lang LaSalle Incorporated Common Stock,$201.05,6.31,3.24%,"10,315,306,529"
OLED,Universal Display Corporation Common Stock,$218.67,6.49,3.059%,"10,308,035,356"
NTRA,"Natera, Inc. Common Stock",$117.09,9.84,9.175%,"10,297,362,609"
CF,"CF Industries Holdings, Inc. Common Stock",$47.90,0.95,2.023%,"10,275,263,902"
LEA,Lear Corporation Common Stock,$169.71,1.73,1.03%,"10,205,773,222"
SMG,Scotts Miracle-Gro Company (The) Common Stock,$182.72,1.32,0.728%,"10,178,059,834"
PFPT,"Proofpoint, Inc. Common Stock",$175.00,0.38,0.218%,"10,082,348,500"
COLD,Americold Realty Trust Common Shares,$39.73,-0.65,-1.61%,"10,033,356,830"
WAL,Western Alliance Bancorporation Common Stock (DE),$96.20,1.68,1.777%,"10,024,040,000"
